 ES
ES NOTICIA
NOTICIA Última
Última hora
hora Venezuela
Venezuela Donald
Donald Trump
Trump Nicolás
Nicolás Maduro
Maduro Cilia
Cilia Flores
Flores Petróleo
Petróleo Aemet
Aemet Rufián
Rufián Roscón
Roscón Campo
Campo Finlandia
Finlandia Longevidad
Longevidad Paella
Paella BUTTON
BUTTON El
El HuffPost
HuffPost Última
Última hora
hora Facebook
Facebook Twitter
Twitter políticaglobalviralesLIFEvídeosEl
políticaglobalviralesLIFEvídeosEl televiseronoticias
televiseronoticias trabajoÚLTIMAS
trabajoÚLTIMAS NOTICIAS
NOTICIAS El
El narcisisme
narcisisme en
en les
les xarxes
xarxes socials
socials i
i el
el gènere
gènere Opinión
Opinión Opinión
Opinión El
El narcisisme
narcisisme en
en les
les xarxes
xarxes socials
socials i
i el
el gènere
gènere Ens
Ens convé
convé educar
educar la
la població
població en
en el
el desenvolupament
desenvolupament d
d una
una mirada
mirada crítica
crítica i
i reflexiva
reflexiva a
a tot
tot allò
allò que
que les
les persones
persones mostren
mostren en
en les
les xarxes
xarxes sociales
sociales Maria
Maria Àngels
Àngels Viladot
Viladot Maria
Maria Àngels
Àngels Viladot
Viladot 14
14 12
12 2022
2022 a
a las
las 11
11 05
05 Actualizado
Actualizado el
el 14
14 12
12 2022
2022 a
a las
las 11
11 06
06 síguenos
síguenos en
en Facebook
Facebook Twitter
Twitter Whatsapp
Whatsapp Email
Email Elizaveta
Elizaveta Starkova
Starkova via
via Getty
Getty Images
Images Aquest
Aquest article
article també
també està
està disponible
disponible en
en castellà
castellà Els
Els experts
experts i
i acadèmics
acadèmics sobretot
sobretot els
els psicòlegs
psicòlegs socials
socials ens
ens preguntem
preguntem fins
fins a
a quin
quin punt
punt les
les xarxes
xarxes socials
socials potencien
potencien els
els nivells
nivells de
de narcisisme
narcisisme de
de les
les persones
persones i
i si
si fins
fins i
i tot
tot el
el creen
creen La
La resposta
resposta que
que es
es desprèn
desprèn de
de les
les investigacions
investigacions és
és un
un sí
sí les
les xarxes
xarxes potencien
potencien el
el narcisisme
narcisisme i
i en
en creen
creen però
però val
val a
a dir
dir amb
amb moltes
moltes variacions
variacions i
i biaixos
biaixos Biaixos
Biaixos que
que tenen
tenen a
a veure
veure d
d una
una banda
banda amb
amb les
les característiques
característiques de
de la
la xarxa
xarxa social
social Twitter
Twitter Facebook
Facebook Instagram
Instagram o
o Tik
Tik Tok
Tok per
per exemple
exemple representen
representen diferents
diferents sistemes
sistemes de
de comunicació
comunicació i
i d
d altra
altra banda
banda amb
amb les
les cohorts
cohorts d
d edat
edat i
i el
el gènere
gènere El
El 66
66 dels
dels usuaris
usuaris de
de les
les xarxes
xarxes socials
socials té
té menys
menys de
de 39
39 anys
anys The
The Social
Social Media
Media Family
Family 2021
2021 És
És a
a dir
dir les
les persones
persones més
més joves
joves utilitzen
utilitzen més
més les
les xarxes
xarxes socials
socials que
que les
les més
més grans
grans La
La literatura
literatura acadèmica
acadèmica subratlla
subratlla que
que els
els membres
membres aquest
aquest primer
primer grup
grup el
el de
de menys
menys edat
edat presenten
presenten més
més trets
trets de
de personalitat
personalitat narcisista
narcisista que
que els
els del
del grup
grup ja
ja més
més granadet
granadet Aquestes
Aquestes diferències
diferències es
es relacionen
relacionen amb
amb la
la cultura
cultura i
i la
la generació
generació en
en les
les quals
quals la
la joventut
joventut d
d avui
avui dia
dia està
està immersa
immersa sobretot
sobretot en
en les
les societats
societats individualistes
individualistes occidentals
occidentals El
El fenomen
fenomen de
de les
les xarxes
xarxes socials
socials està
està afectant
afectant radicalment
radicalment les
les formes
formes tradicionals
tradicionals de
de comunicació
comunicació la
