Model loaded
loaded succeed
succeed 新闻
新闻 新闻
新闻 频道
频道 中国
中国 新闻
新闻 我国
我国 城市
城市 综合
综合 交通
交通 网络
网络 加快
加快 形成
形成 来
来 源
源 人民日报
人民日报 海外版
海外版 2024年
2024年 12月
12月 07日
07日 06
06 18
18 53
53 人民日报
人民日报 海外版
海外版 2024年
2024年 12月
12月 07日
07日 06
06 18
18 53
53 原
原 标题
标题 设施
设施 更
更 完善
完善 服务
服务 更
更 多
多 元
元 发展
发展 更
更 绿色
绿色 中国
中国 城市
城市 综合
综合 交通
交通 网络
网络 加快
加快 形成
形成 正在
正在 加载
加载 浙江
浙江 杭州
杭州 公交
公交 系统
系统 再
再 升级
升级 推出
推出 首
首 批
批 大
大 站
站 快
快 线
线 通过
通过 缩减
缩减 停靠
停靠 站点
站点 整体
整体 运行
运行 速度
速度 提升
提升 近
近 20
20 预计
预计 全年
全年 将
将 推出
推出 百
百 条
条 大站
大站 快
快 线
线 黑龙江
黑龙江 哈尔滨
哈尔滨 随着
随着 地铁
地铁 3
3 号
号 线
线 二期
二期 工程
工程 开通
开通 哈尔滨
哈尔滨 地铁
地铁 十字
十字 环线
环线 网络化
网络化 运营
运营 格局
格局 正式
正式 形成
形成 将
将 连
连 接
接 上百
上百 个
个 小区
小区 串
串 起
起 170
170 条
条 公交
公交 线路
线路 惠
惠 及
及 近
近 百
百 万市民
万市民 公交
公交 服务
服务 提质
提质 增效
增效 轨道
轨道 交通
交通 不
不 断
断 延展
延展 助力
助力 我国
我国 城市
城市 综合
综合 交通
交通 网络
网络 加快
加快 形成
形成 数据
数据 显示
显示 截至
截至 目前
目前 全国
全国 城市
城市 公共
公共 汽电车
汽电车 线路
线路 近
近 8万
8万 条
条 线路
线路 长度
长度 超过
超过 17
17 0万
0万 公里
公里 公交
公交 专用道
专用道 突破
突破 2万
2万 公里
公里 全国
全国 共有
共有 54
54 个
个 城市
城市 开通
开通 运营
运营 城市
城市 轨道
轨道 交通
交通 线路
线路 313
313 条
条 运营
运营 里程
里程 超
超 1万
1万 公里
公里 居
居 世界
世界 第一
第一 近年
近年 来
来 围绕
围绕 建设
建设 人民
人民 满意
满意 交通
交通 城市
城市 交通
交通 发展
发展 取得
取得 积极
积极 成效
成效 公共
公共 交通
交通 在
在 城市
城市 交通
交通 中
中 的
的 主体
主体 地位
地位 基本
基本 确立
确立 人民
人民 群众
群众 城市
城市 交通
交通 出行
出行 的
的 获得感
获得感 幸福感
幸福感 安
安 全感
全感 显著
显著 增强
增强 交通
交通 运输部
运输部 有关
有关 负责人
负责人 表示
表示 公交
公交 出行
出行 更加
更加 便捷
便捷 成都
成都 投入
投入 33
33 条
条 准
准 点
点 公交
公交 将
将 到
到 站
站 时间
时间 误差
误差 控制
控制 在
在 30
30 秒
秒 内
内 北京
北京 开通
开通 环京
环京 通勤
通勤 定制
定制 快
快 巴
巴 覆盖
覆盖 9
9 个
个 进
进 京
京 通勤
通勤 方向
方向 目前
目前 117
117 个
个 城
城 市
市 参与
参与 国
国 家
家 公交
公交 都市
都市 创建
创建 74
74 个
个 城市
城市 被
被 授予
授予 国
国 家
家 公交
公交 都市
都市 建设
建设 示范
示范 城市
城市 称号
称号 各地
各地 统筹
统筹 推进
推进 常规
常规 公交
公交 微循环
微循环 公交
公交 定制
定制 公交
公交 等
等 服务
服务 发展
发展 快
快 干
干 支微
支微 公
公 交
交 出行
出行 服务
服务 体系
体系 加快
加快 构建
构建 共享
共享 出行
出行 更加
更加 规范
规范 近年
近年 来
来 我国
我国 网约车
网约车 运营
运营 水平
水平 稳步
稳步 提高
提高 共享
共享 单车
单车 和
和 小
小 微型
微型 客车
客车 租赁
租赁 有序
有序 发展
发展 全国
全国 互联网
互联网 租赁
租赁 自行车
自行车 投放
投放 超过
超过 1250万
1250万 辆
辆 覆盖
覆盖 41
41 0
0 余
余 个
个 城市
城市 日均
日均 服务
服务 约
约 2500万
2500万 人次
人次 绿色
绿色 发展
发展 步伐
步伐 加快
加快 看
看 客运
客运 目前
目前 全国
全国 新
新 能源
能源 公交车
公交车 数量
数量 达
达 55
55 4万
4万 辆
辆 占
占 比
比 达
达 81
81 2
2 有
有 97
97 个
个 城市
城市 达到
达到 绿色
绿色 出行
出行 创建
创建 目标
目标 绿色
绿色 出行
出行 比例
比例 达到
达到 7
7 0
0 以上
以上 绿色
绿色 出行
出行 服务
服务 满意率
满意率 超过
超过 80
80 城市
城市 绿色
绿色 出行
出行 环境
环境 不
不 断
断 优化
优化 看
看 货运
货运 截至
截至 去年底
去年底 77
77 个
个 绿色
绿色 货运
货运 配送
配送 示范
示范 工程
工程 城市
城市 累计
累计 新增
新增 新
新 能源
能源 物流
物流 配送
配送 车
车 约
约 32万
32万 辆
辆 保有量
保有量 超过
超过 53万
53万 辆
辆 城市
城市 货运
货运 服务
服务 更加
更加 绿色
绿色 低
低 碳
碳 适老
适老 服务
服务 水平
水平 提升
提升 目前
目前 各地
各地 累计
累计 打造
打造 4400
4400 余
余 条
条 敬老
敬老 爱老
爱老 城市
城市 公共
公共 汽电车
汽电车 线路
线路 适老化
适老化 改造
改造 近
近 1
1 3万
3万 个
个 公交
公交 站台
站台 推广
推广 低地板
低地板 及
及 低
低 入口
入口 城市
城市 公交车
公交车 超
超 过
过 12万
12万 辆
辆 各
各 主要
主要 网约车
网约车 平台
平台 在
在 300
300 余
余 个
个 城市
城市 上
上 线
线 一
一 键
键 叫
叫 车
车 服务
服务 累计
累计 为
为 1650万
1650万 老年人
老年人 提供
提供 出行
出行 服务
服务 超过
超过 1
1 8亿
8亿 单
单 交通
交通 运输部
运输部 有关
有关 负责人
负责人 表示
表示 下
下 一
一 步
步 将
将 以
以 贯彻
贯彻 实施
实施 城市公共交通条例
城市公共交通条例 为
为 契机
契机 推动
推动 城市
城市 公共
公共 交通
交通 优先
优先 发展
发展 合理
合理 确定
确定 公共
公共 交通
交通 发展
发展 模式
模式 同时
同时 加快
加快 推
推 进
进 城市
城市 公共
公共 交通
交通 数字
数字 转型
转型 促进
促进 公共
公共 交通
交通 服务
服务 提质
提质 增效
增效 以
以 高
高 质量
质量 的
的 城市
