Model loaded
loaded succeed
succeed 消息
消息 首
首 页
页 新闻
新闻 视频
视频 大片
大片 影库
影库 CCTV
CCTV 6
6 VIP影院
VIP影院 搜索
搜索 搜索
搜索 BUTTON
BUTTON Input
Input not
not implemented
implemented 1905
1905 电影网
电影网 电影
电影 星
星 闻
闻 独
独 家
家 更
更 多
多 专题
专题 图片
图片 视频
视频 滚动
滚动 1905
1905 电影网
电影网 新闻
新闻 搜索
搜索 首
首 页
页 新闻
新闻 大片
大片 影库
影库 CCTV
CCTV 6
6 VIP影院
VIP影院 客户
客户 端
端 电影网
电影网 电影
电影 号
号 热搜
热搜 令
令 人
人 警醒
警醒 的
的 反
反 网络
网络 暴力
暴力 电影
电影 佳作
佳作 时间
时间 2023
2023 12
12 01
01 来
来 源
源 人民日报
人民日报 客户
客户 端
端 作者
作者 影视
影视 风向标
风向标 分享
分享 到
到 作者
作者 胡建礼
胡建礼 电影
电影 热搜
热搜 讲述
讲述 了
了 一起
一起 少女
少女 校园
校园 霸凌
霸凌 事件
事件 被
被 自
自 媒体
媒体 炒
炒 上
上 热搜
热搜 背后
背后 的
的 故事
故事 女
女 主角
主角 通过
通过 发动
发动 一
一 场
场 网络
网络 舆论
舆论 战
战 最终
最终 揭开
揭开 了
了 真正
真正 施暴者
施暴者 的
的 犯罪
犯罪 真相
真相 不
不 仅
仅 剧情
剧情 跌
跌 宕起伏
宕起伏 多次
多次 反转
反转 而且
而且 对
对 网络
网络 舆论
舆论 如何
如何 被
被 人
人 煽动
煽动 和
和 利用
利用 具有
具有 一定
一定 的
的 揭秘
揭秘 性质
性质 20231201103005410556
20231201103005410556 png
png 在
在 当前
当前 中国
中国 复杂
复杂 的
的 网络
网络 舆论
舆论 环境
环境 下
下 该片
该片 的
的 上映
上映 可谓
可谓 恰
恰 逢
逢 其时
其时 很
很 好
好 地
地 体现
体现 了
了 影视
影视 作品
作品 的
的 在场性
在场性 和
和 及时性
及时性 有着
有着 强烈
强烈 的
的 社会
社会 现实
现实 意义
意义 对
对 广大
广大 网友
网友 有着
有着 警醒
警醒 作用
作用 是
是 一
一 部
部 立意
立意 新颖
新颖 引
引 人
人 思考
思考 的
的 现实
现实 题材
题材 类型片
类型片 忻钰坤
忻钰坤 展现
展现 高超
高超 类型化
类型化 叙事
叙事 技巧
技巧 2013年
2013年 年
年 仅
仅 29
29 岁
岁 的
的 青年
青年 导演
导演 忻钰坤
忻钰坤 凭借
凭借 小
小 成本
成本 悬疑片
悬疑片 心迷宫
心迷宫 一鸣惊人
一鸣惊人 荣获
荣获 第8
第8 届
届 FIRST
FIRST 青年
青年 电影展
电影展 最佳
最佳 导演奖
导演奖 及
及 第51
第51 届
届 台湾
台湾 电影
电影 金马奖
金马奖 最佳
最佳 新
新 导演
导演 提名
提名 2017年
2017年 他
他 执导
执导 的
的 犯罪
犯罪 悬疑片
悬疑片 暴裂无声
暴裂无声 同样
同样 口碑
口碑 不
不 俗
俗 豆瓣
豆瓣 8
8 2
2 分
分 票房
票房 也
也 有
有 5425万
5425万 元
元 20231201103006634088
20231201103006634088 png
png 在
在 上述
上述 两
两 部
部 影片
影片 中
中 忻钰坤
忻钰坤 表现
表现 出
出 其
其 精巧
精巧 的
的 多
多 线
线 迂回
迂回 叙事
叙事 能力
能力 以及
以及 别具特色
别具特色 的
的 冷峻
冷峻 写实
写实 影像
影像 风格
风格 热搜
热搜 是
是 他
他 独立
独立 执导
执导 的
的 第三
第三 部
部 院线
院线 电影
电影 同样
同样 具有
具有 悬疑
悬疑 和
和 犯
犯 罪
罪 元素
元素 不
不 同
同 的
的 是
是 故事
故事 发生
发生 在
在 当代
当代 中国
中国 大都市
大都市 聚焦
聚焦 网络
网络 舆论
舆论 网络
网络 暴力
暴力 和
和 性侵
性侵 等
等 热点
热点 社会
社会 话题
话题 更
更 容易
容易 引发
引发 年轻
年轻 观众
观众 的
的 共鸣
共鸣 这
这 一
一 次
次 忻钰坤
忻钰坤 针对
针对 故事
故事 题材
题材 和
和 背景
背景 的
的 不同
不同 主动
主动 求
求 变
变 采取
采取 更
更 符合
符合 普通
普通 观众
观众 审美
审美 的
的 类型化
类型化 叙事
叙事 手法
手法 将
将 一个
一个 并
并 不
不 算
算 很
很 复杂
复杂 的
的 故事
故事 讲
讲 得
得 紧张
紧张 刺激
刺激 一波三折
一波三折 颇
颇 具
具 观
观 赏性
赏性 和
和 话题性
话题性 展现
展现 出
出 他
他 一如既往
一如既往 的
的 强大
强大 叙事
叙事 能力
能力 与
与 前
前 两
两 部
部 作品
作品 有
有 比较
比较 浓厚
浓厚 的
的 作者
作者 色彩
色彩 相比
相比 热搜
热搜 是
是 一
一 部
部 成熟
成熟 的
的 商业
商业 类型片
类型片 但
但 犀利
犀利 观察
观察 社会
社会 现实
现实 关注
关注 弱
弱 势
势 群体
群体 的
的 底色
底色 没有
没有 变
变 影片
影片 一
一 开始
开始 周冬雨
周冬雨 饰演
饰演 的
的 自媒体
自媒体 主编
主编 陈妙
陈妙 在
在 其
其 团队
团队 运营
运营 的
的 大号
大号 上
上 发布
发布 了
了 一
一 篇
篇 少女
少女 校园
校园 霸凌
霸凌 的
的 爆款
爆款 文章
文章 还
还 在
在 编前会
编前会 上
上 洋洋得意
洋洋得意 地
地 谈
谈 煽动
煽动 网络
网络 舆论
舆论 的
的 技巧
技巧 网友
网友 想
想 骂
骂 张小穗
张小穗 我们
我们 就
就 提供
提供 骂点
骂点 不
不 料
料 当事
当事 少女
少女 张小穗
张小穗 在
在 遭遇
遭遇 网络
网络 暴力
暴力 后
后 含
含 冤跳楼
冤跳楼 自杀
自杀 跳
跳 楼
楼 前
前 给
给 陈妙
陈妙 寄书
寄书 写信
写信 说明
说明 隐情
隐情 陈妙
陈妙 才
才 知道
知道 自己
自己 无意
无意 中
中 被
被 人
人 当枪
当枪 使
使 她
她 虽
虽 有
有 对
对 流量
流量 的
的 渴望
渴望 和
和 做
做 大
大 做
做 强
强 自
自 媒体
媒体 的
的 野心
野心 但
但 骨子里
骨子里 是
是 一个
一个 有
有 良知
良知 的
的 媒体
媒体 人
人 为
为 了
了 将功补过
将功补过 替张
替张 小穗
小穗 讨
讨 回
回 公道
公道 她
她 在
在 同事
同事 的
的 帮助
帮助 下
下 破釜沉舟
破釜沉舟 发动
发动 了
了 一
一 场
场 正义
正义 的
的 网络
网络 舆论战
舆论战 与
与 袁弘
袁弘 饰演
饰演 的
的 大
大 反派
反派 爪牙
爪牙 斗智
斗智 斗
斗 勇
勇 最终
最终 揭开
揭开 了
了 真正
真正 施暴者
施暴者 的
的 犯罪
犯罪 真相
真相 20231201103006839503
20231201103006839503 jpeg
jpeg 整个
整个 故事
故事 的
的 框架
框架 并
并 不
不 复杂
复杂 但
但 胜
胜 在
在 细节
细节 丰满
丰满 生动
生动 叙事
叙事 手法
手法 精巧
精巧 不
不 时设
时设 下
下 伏笔
伏笔 甚至
甚至 连
连 男女
男女 主角
主角 的
的 人
人 设
设 前后
前后 也
也 有
有 鲜明
鲜明 反差
反差 留下
留下 一些
一些 悬念
悬念 直到
直到 最后
最后 时刻
时刻 仍
仍 有
有 反
反 转
转 虽然
虽然 并
并 不
不 算
算 难猜
难猜 因为
因为 本片
本片 的
的 侧重点
侧重点 也
也 不
不 在于
在于 营造
营造 悬疑
悬疑 氛围
氛围 但
但 增强
增强 了
了 影片
影片 的
的 戏剧性
戏剧性 和
和 观赏性
观赏性 通过
通过 热搜
热搜 中
中 呈现
呈现 的
的 高超
高超 类型化
类型化 叙事
叙事 技巧
技巧 忻钰坤
忻钰坤 再次
再次 证明
证明 自己
自己 是
是 中国
