token,corpus size,all contexts size,frequency,co-frequency,specificity
neuronals,16994,10337,195,189,32.66
socials,16994,10337,159,158,32.52
neuronal,16994,10337,119,116,20.93
pesca,16994,10337,96,86,9.63
geografia,16994,10337,35,35,7.57
transports,16994,10337,50,47,7.09
ferroviària,16994,10337,58,52,6.08
social,16994,10337,69,60,5.88
tipus,16994,10337,61,53,5.24
criminals,16994,10337,42,37,4.10
modifica,16994,10337,27,25,3.67
artificials,16994,10337,43,37,3.65
jpg,16994,10337,22,21,3.60
transport,16994,10337,71,56,3.24
sociales,16994,10337,20,19,3.21
continguts,16994,10337,20,19,3.21
catalunya,16994,10337,41,34,2.84
neurals,16994,10337,13,13,2.81
seguretat,16994,10337,37,31,2.77
arrossegament,16994,10337,21,19,2.60
complexitat,16994,10337,12,12,2.59
profundes,16994,10337,12,12,2.59
commuta,16994,10337,16,15,2.44
aplicacions,16994,10337,20,18,2.42
catalana,16994,10337,11,11,2.38
notícies,16994,10337,15,14,2.25
llengües,16994,10337,10,10,2.16
tenen,16994,10337,22,19,2.14
interès,16994,10337,14,13,2.07
xinesa,16994,10337,9,9,1.94
general,16994,10337,24,20,1.92
privacitat,16994,10337,17,15,1.92
carretera,16994,10337,17,15,1.92
tràfic,16994,10337,13,12,1.88
addicció,16994,10337,23,19,1.78
servir,16994,10337,16,14,1.76
infància,16994,10337,8,8,1.73
inici,16994,10337,8,8,1.73
denominació,16994,10337,8,8,1.73
wikipedia,16994,10337,8,8,1.73
multicapa,16994,10337,8,8,1.73
feedforward,16994,10337,8,8,1.73
oticon,16994,10337,8,8,1.73
principals,16994,10337,12,11,1.70
infraestructures,16994,10337,22,18,1.65
taula,16994,10337,15,13,1.60
disseny,16994,10337,18,15,1.55
grans,16994,10337,18,15,1.55
artificial,16994,10337,42,31,1.54
kochi,16994,10337,11,10,1.53
