token	corpus size	all contexts size	frequency	co-frequency	specificity
sociales	108269	24015	496	443	224.82
las	108269	24015	1432	591	59.12
de	108269	24015	7204	2168	58.77
seguridad	108269	24015	390	228	53.42
monofilamento	108269	24015	71	66	36.62
210	108269	24015	60	52	25.49
una	108269	24015	880	331	24.99
tipo	108269	24015	147	89	22.91
redes	108269	24015	1206	409	20.70
la	108269	24015	2876	850	20.68
hilo	108269	24015	93	62	19.29
red	108269	24015	1069	359	17.58
tipos	108269	24015	94	59	16.54
que	108269	24015	1428	444	14.98
marketing	108269	24015	330	135	13.97
lan	108269	24015	59	39	12.25
deportivas	108269	24015	25	22	11.36
en	108269	24015	2247	629	10.95
para	108269	24015	1332	397	10.81
futbol	108269	24015	16	16	10.47
mono	108269	24015	16	16	10.47
son	108269	24015	237	97	10.35
multi	108269	24015	23	20	10.16
camuflaje	108269	24015	27	22	10.03
0	108269	24015	134	63	9.88
network	108269	24015	36	26	9.69
social	108269	24015	173	75	9.54
computadoras	108269	24015	22	18	8.35
es	108269	24015	657	207	8.12
area	108269	24015	25	19	7.83
hilos	108269	24015	28	20	7.46
carreteras	108269	24015	130	56	7.25
mallas	108269	24015	27	19	6.95
pesca	108269	24015	69	35	6.85
malla	108269	24015	75	37	6.80
trasmallos	108269	24015	17	14	6.65
dispositivos	108269	24015	100	45	6.64
instalar	108269	24015	14	12	6.11
tenis	108269	24015	49	26	5.75
horizontales	108269	24015	11	10	5.61
1263	108269	24015	24	16	5.47
forjado	108269	24015	29	18	5.43
se	108269	24015	647	190	5.41
vial	108269	24015	32	19	5.30
c3	108269	24015	32	19	5.30
etc	108269	24015	43	23	5.24
advanced	108269	24015	8	8	5.23
nudo	108269	24015	8	8	5.23
lonas	108269	24015	8	8	5.23
capa	108269	24015	20	14	5.22
forman	108269	24015	10	9	5.00
playa	108269	24015	14	11	4.96
entre	108269	24015	148	55	4.86
funcionamiento	108269	24015	26	16	4.83
operaciones	108269	24015	34	19	4.79
acceso	108269	24015	146	54	4.73
funcional	108269	24015	17	12	4.60
cortina	108269	24015	7	7	4.58
sujeta	108269	24015	7	7	4.58
