item	total	count part-1	specif part-1	count part-2	specif part-2
	189921		133096		56825
的	9538	6092	-40.83	3446	40.83
网络	3732	1866	-147.54	1866	147.54
和	1952	1302	-4.00	650	4.00
在	1847	1189	-7.80	658	7.80
是	1763	1165	-4.57	598	4.57
了	1412	924	-4.74	488	4.74
社交	1332	730	-31.77	602	31.77
不	1147	780	-2.11	367	2.11
与	1108	769	-1.64	339	1.64
来	1001	646	-4.68	355	4.68
中	972	586	-10.79	386	10.79
一	901	602	-2.53	299	2.53
你	855	602	1.53	253	-1.53
安全	767	459	-9.45	308	9.45
为	736	470	-4.37	266	4.37
人	688	460	-2.22	228	2.22
等	669	449	-2.08	220	2.08
更	646	415	-3.70	231	3.70
有	621	422	-1.75	199	1.75
数据	607	402	-2.38	205	2.38
家	592	416	1.45	176	-1.45
可以	555	352	-3.91	203	3.91
对	549	339	-5.24	210	5.24
1	544	421	4.57	123	-4.57
一个	528	346	-2.54	182	2.54
信息	521	347	-2.07	174	2.07
发展	501	300	-6.57	201	6.57
这	497	317	-3.40	180	3.40
上	491	328	-1.95	163	1.95
多	483	346	1.52	137	-1.52
将	478	297	-4.42	181	4.42
社会	467	284	-5.38	183	5.38
分析	457	302	-2.14	155	2.14
关系	452	278	-4.71	174	4.71
也	451	298	-2.13	153	2.13
通过	443	272	-4.71	171	4.71
会	443	297	-1.81	146	1.81
2	433	350	6.97	83	-6.97
到	423	287	-1.60	136	1.60
个	418	286	-1.49	132	1.49
新	409	297	1.63	112	-1.63
我们	409	303	2.05	106	-2.05
就	406	277	-1.51	129	1.51
服务	400	305	2.98	95	-2.98
用户	400	275	-1.44	125	1.44
能	399	261	-2.25	138	2.25
大	389	262	-1.66	127	1.66
应用	389	287	1.90	102	-1.90
研究	388	253	-2.30	135	2.30
3	372	285	3.04	87	-3.04
神经	370	186	-15.17	184	15.17
内容	363	239	-2.02	124	2.02
并	354	226	-2.73	128	2.73
么	351	260	1.91	91	-1.91
价	349	253	1.53	96	-1.53
平台	348	229	-1.99	119	1.99
从	347	230	-1.85	117	1.85
以	347	229	-1.93	118	1.93
提供	343	221	-2.45	122	2.45
2025	343	298	12.91	45	-12.91
交通	342	227	-1.82	115	1.82
市场	325	230	1.33	95	-1.33
行业	323	213	-1.89	110	1.89
都	312	211	-1.51	101	1.51
4	304	252	6.98	52	-6.98
中国	301	205	-1.43	96	1.43
直播	297	169	-6.34	128	6.34
或	294	195	-1.73	99	1.73
5	292	213	1.53	79	-1.53
问题	288	180	-2.96	108	2.96
